FechaDeCierre;NumeroDeExpediente;ValorUnitarioDeMercado;NumeroDeBanos;NumeroDeDormitorios;SuperficieConstruidaDeLaVivienda;CosteDeConstruccionBrutoUnitarioVivienda;PorcentajeDepreciacionVivienda;NumeroDeAscensores;Tipologia;SuperficieDeLaParcela;DatosDeLaPlanta;NumeroDePlanta;TipoZona;idZona;CodZona;Distancia;CodZonaReferencia;ExteriorInterior
21/11/2014;J 0188108 4;1150;4;5;354,46;550;30;0;1;300;5;0;30;2300043;2305001017;1665,962249;2305001023;1
17/11/2014;GR0362609 3;845;1;4;177,94;550;39;0;1;74;7;0;30;1800044;1808701009;71315,05493;2305001023;1
12/11/2014;J 0159614;1100;4;4;183,8;550;14;1;1;52;5;0;30;2300016;2305001012;1346,928654;2305001023;1
06/11/2014;MA0441214;750;1;2;114,5;640;18;0;1;98;7;1;30;2900186;2900001002;114162,5781;2305001023;1
20/10/2014;GR0261814;1025;1;3;79,62;700;30;0;1;93;5;0;30;1800044;1808701009;71467,94958;2305001023;1
15/10/2014;CO0156314;1800;3;4;110,68;800;8;0;1;0;7;1;30;6527;1402101007;86274,51279;2305001023;1
06/10/2014;GR0184911 2;1300;1;3;78,55;660;27;0;1;69,35;5;0;30;1800044;1808701009;71267,014;2305001023;1
22/09/2014;GR0237614;700;2;4;224,82;520;30;0;1;93;7;1;30;1800044;1808701009;71479,04941;2305001023;1
18/09/2014;J 0129414;750;3;5;469,45;480;35;1;1;411;5;0;30;2300043;2305001017;1895,537941;2305001023;1
21/08/2014;J 0052814;580;1;3;108,47;540;50;0;1;72,05;7;0;30;2300044;2305001007;552,0016454;2305001023;1
19/08/2014;GR0200514 2;1175;2;2;152,64;620;12;0;1;69,35;5;0;30;1800044;1808701009;71246,79511;2305001023;1
11/08/2014;MA0334214;470;1;3;120;500;32;0;1;84;7;1;30;2900186;2900001002;116746,1117;2305001023;1
04/08/2014;MA0099812 3;1128,15;1;1;57,26;736;14;0;1;2500;5;0;30;2900186;2900001002;111922,0499;2305001023;1
31/07/2014;GR0078209 3;1325;2;3;154,89;590;17;0;1;85,4;7;0;30;1800047;1808701005;70865,75747;2305001023;1
23/07/2014;GR0200514;1175;2;2;152,64;620;12;0;1;69,35;5;0;30;1800044;1808701009;71246,79511;2305001023;1
22/07/2014;CO0098314 2;1250;3;5;255,63;700;5;0;1;517;5;0;30;6527;1402101007;86307,32509;2305001023;1
17/07/2014;CO0118314;1930;3;4;124,51;750;5;0;1;180,15;7;0;30;6527;1402101007;86259,54198;2305001023;1
10/07/2014;CO0113414;1900;3;4;117,9;750;8;0;1;193,95;5;0;30;6527;1402101007;86554,11826;2305001023;1
01/07/2014;GR0185514;1603,53;1;2;48,18;525;30;0;1;69,35;5;0;30;1800044;1808701009;71304,52743;2305001023;1
26/06/2014;MA0483905 3;1020;5;5;255,22;700;25;0;1;1180;7;1;30;2900186;2900001002;110389,0916;2305001023;1
19/06/2014;CO0099614;1080;3;4;238,29;720;5;0;1;297,55;5;0;30;6527;1402101007;85994,49176;2305001023;1
17/06/2014;CO0098314;1250;3;5;255,63;700;5;0;1;517;5;0;30;6527;1402101007;86307,32509;2305001023;1
03/06/2014;GR0157214;1150;2;3;183,34;575;16;0;1;71,94;7;0;30;1800047;1808701005;70839,97961;2305001023;1
26/05/2014;MA0223914;850;2;3;226,36;525;0;0;1;156,71;7;1;30;2900186;2900001002;91425,87409;2305001023;1
22/05/2014;CO0082614;1240;3;4;320,96;720;5;0;1;611,49;7;0;30;6527;1402101007;86195,88781;2305001023;1
05/05/2014;CO0071614;1075;3;4;308,38;650;5;0;1;609,7;7;0;30;6527;1402101007;86347,0285;2305001023;1
08/04/2014;MA0154614;1070;2;3;118,95;725;7;0;1;142,2;7;1;30;2900186;2900001002;116371,1353;2305001023;1
04/04/2014;GR0035696 4;1195;2;3;158,82;650;20;0;1;96,25;5;0;30;1800044;1808701009;71472,34612;2305001023;1
26/03/2014;MA0131714;771,8701505;3;5;361,74;575;0;0;1;227,4;5;0;30;2900186;2900001002;91606,18723;2305001023;1
06/03/2014;CO0038714;1256,150525;3;4;308,38;600;10;0;1;642,96;5;0;30;6527;1402101007;86312,27768;2305001023;1
03/03/2014;MA0098514;774,039002;2;3;110,65;650;12;0;1;620;7;0;30;2900186;2900001002;114129,4984;2305001023;1
26/02/2014;MA0093814;867,5406;2;4;131,67;650;25;0;1;118,98;5;0;30;2900186;2900001002;91617,87188;2305001023;1
13/02/2014;CO0561306 2;1794,50075;3;4;127,54;700;8;0;1;143,33;5;0;30;6527;1402101007;86516,85363;2305001023;1
11/02/2014;MA0099812 2;1101,776562;1;1;57,26;750;14;0;1;2500;5;0;30;2900186;2900001002;111921,4964;2305001023;1
07/02/2014;J 0016114;953,5226;1;3;111,5;600;30;0;1;76;5;0;30;2300044;2305001007;522,2462992;2305001023;1
04/02/2014;J 0021907 3;994,674628;2;0;105;630;22;0;1;49;5;0;30;2300044;2305001007;474,069928;2305001023;1
29/01/2014;GR0362609 2;938,923;1;4;177,94;530;38;0;1;74;7;0;30;1800044;1808701009;71320,65345;2305001023;1
10/12/2013;MA0436013;838,81485;1;3;58;680;15;0;1;68;7;0;30;2900186;2900001002;115662,6677;2305001023;1
